station,train_type,delay,time
Gent,,0,1767702060
Gent,,0,1767702120
Gent,,0,1767702180
Gent,,0,1767702300
Gent,,0,1767702420
Gent,,0,1767702960
Gent,,0,1767703140
Gent,,0,1767703140
Gent,,0,1767703260
Gent,,0,1767703320
Gent,,0,1767703500
Gent,,0,1767703980
Gent,,60,1767703980
Gent,,0,1767704100
Gent,,0,1767704220
Gent,,0,1767704220
Gent,,0,1767704400
Gent,,0,1767704400
Gent,,0,1767704700
Gent,,0,1767704940
Gent,,0,1767704940
Gent,,60,1767705060
Gent,,0,1767705120
Gent,,0,1767705180
Gent,,0,1767705660
Gent,,0,1767705720
Brussels-Central,BE.NMBS.IC535,2026-01-06 13:59:00,0
Brussels-Central,BE.NMBS.IC3134,2026-01-06 13:59:00,1920
Brussels-Central,BE.NMBS.IC5135,2026-01-06 14:00:00,0
Brussels-Central,BE.NMBS.IC3113,2026-01-06 14:01:00,0
Brussels-Central,BE.NMBS.IC512,2026-01-06 14:01:00,0
Brussels-Central,BE.NMBS.IC5112,2026-01-06 14:04:00,0
Brussels-Central,BE.NMBS.S23763,2026-01-06 14:04:00,0
Brussels-Central,BE.NMBS.IC1935,2026-01-06 14:06:00,0
Brussels-Central,BE.NMBS.S102064,2026-01-06 14:06:00,840
Brussels-Central,BE.NMBS.IC2035,2026-01-06 14:07:00,120
Brussels-Central,BE.NMBS.IC2414,2026-01-06 14:08:00,0
Brussels-Central,BE.NMBS.S11763,2026-01-06 14:09:00,0
Brussels-Central,BE.NMBS.S86585,2026-01-06 14:09:00,0
Brussels-Central,BE.NMBS.S32285,2026-01-06 14:12:00,60
Brussels-Central,BE.NMBS.EC9232,2026-01-06 14:13:00,420
Brussels-Central,BE.NMBS.IC3713,2026-01-06 14:14:00,0
Brussels-Central,BE.NMBS.IC3613,2026-01-06 14:16:00,0
Brussels-Central,BE.NMBS.IC2235,2026-01-06 14:16:00,0
Brussels-Central,BE.NMBS.IC2812,2026-01-06 14:18:00,0
Brussels-Central,BE.NMBS.S11985,2026-01-06 14:18:00,120
Brussels-Central,BE.NMBS.IC1735,2026-01-06 14:18:00,0
Brussels-Central,BE.NMBS.IC1535,2026-01-06 14:21:00,0
Brussels-Central,BE.NMBS.IC3212,2026-01-06 14:22:00,0
Brussels-Central,BE.NMBS.IC3435,2026-01-06 14:23:00,60
Brussels-Central,BE.NMBS.S83963,2026-01-06 14:24:00,0
Brussels-Central,BE.NMBS.IC2134,2026-01-06 14:24:00,0
Brussels-Central,BE.NMBS.IC4513,2026-01-06 14:25:00,60
Brussels-Central,BE.NMBS.S23685,2026-01-06 14:27:00,0
Brussels-Central,BE.NMBS.IC2311,2026-01-06 14:28:00,0
Brussels-Central,BE.NMBS.IC435,2026-01-06 14:28:00,0
Brussels-Central,BE.NMBS.IC2337,2026-01-06 14:32:00,0
Brussels-Central,BE.NMBS.IC413,2026-01-06 14:33:00,60
Brussels-Central,BE.NMBS.S23663,2026-01-06 14:34:00,0
Brussels-Central,BE.NMBS.S83985,2026-01-06 14:35:00,0
Brussels-Central,BE.NMBS.IC4535,2026-01-06 14:37:00,0
Brussels-Central,BE.NMBS.IC2114,2026-01-06 14:37:00,0
Brussels-Central,BE.NMBS.IC3413,2026-01-06 14:38:00,0
Brussels-Central,BE.NMBS.IC3236,2026-01-06 14:39:00,0
Brussels-Central,BE.NMBS.IC1513,2026-01-06 14:41:00,0
Brussels-Central,BE.NMBS.S11963,2026-01-06 14:42:00,0
Brussels-Central,BE.NMBS.IC2836,2026-01-06 14:43:00,0
Brussels-Central,BE.NMBS.IC2213,2026-01-06 14:45:00,0
Brussels-Central,BE.NMBS.IC1713,2026-01-06 14:45:00,0
Brussels-Central,BE.NMBS.IC3635,2026-01-06 14:45:00,480
Brussels-Central,BE.NMBS.IC3735,2026-01-06 14:48:00,0
Brussels-Central,BE.NMBS.S32263,2026-01-06 14:48:00,0
Brussels-Central,BE.NMBS.EC9247,2026-01-06 14:49:00,0
Brussels-Central,BE.NMBS.S86563,2026-01-06 14:52:00,0
Brussels-Central,BE.NMBS.S11785,2026-01-06 14:52:00,0
Brussels-Central,BE.NMBS.IC2434,2026-01-06 14:53:00,0
Brussels-Central,BE.NMBS.S102084,2026-01-06 14:54:00,60
Brussels-Central,BE.NMBS.IC2013,2026-01-06 14:55:00,0
Brussels-Central,BE.NMBS.IC1913,2026-01-06 14:56:00,0
Brussels-Central,BE.NMBS.S23785,2026-01-06 14:56:00,0
Antwerp-Central,BE.NMBS.S322384,2026-01-06 13:43:00,2220
Antwerp-Central,BE.NMBS.L2863,2026-01-06 13:58:00,0
Antwerp-Central,BE.NMBS.S356784,2026-01-06 14:03:00,0
Antwerp-Central,BE.NMBS.IC3135,2026-01-06 14:05:00,0
Antwerp-Central,BE.NMBS.S11986,2026-01-06 14:05:00,0
Antwerp-Central,BE.NMBS.IC1835,2026-01-06 14:06:00,0
Antwerp-Central,BE.NMBS.IC4314,2026-01-06 14:09:00,0
Antwerp-Central,BE.NMBS.S322584,2026-01-06 14:13:00,120
Antwerp-Central,BE.NMBS.IC4914,2026-01-06 14:17:00,0
Antwerp-Central,BE.NMBS.EC9236,2026-01-06 14:19:00,0
Antwerp-Central,BE.NMBS.S322363,2026-01-06 14:20:00,0
Antwerp-Central,BE.NMBS.S332964,2026-01-06 14:24:00,0
Antwerp-Central,BE.NMBS.IC2036,2026-01-06 14:25:00,0
Antwerp-Central,BE.NMBS.IC2914,2026-01-06 14:30:00,0
Antwerp-Central,BE.NMBS.EUR9339,2026-01-06 14:30:00,300
Antwerp-Central,BE.NMBS.EUR9352,2026-01-06 14:33:00,840
Antwerp-Central,BE.NMBS.ECD9551,2026-01-06 14:35:00,0
Antwerp-Central,BE.NMBS.IC714,2026-01-06 14:36:00,0
Antwerp-Central,BE.NMBS.S11786,2026-01-06 14:39:00,0
Antwerp-Central,BE.NMBS.IC2012,2026-01-06 14:39:00,0
Antwerp-Central,BE.NMBS.S322385,2026-01-06 14:43:00,540
Antwerp-Central,BE.NMBS.EC9243,2026-01-06 14:45:00,0
Antwerp-Central,BE.NMBS.IC4235,2026-01-06 14:47:00,0
Antwerp-Central,BE.NMBS.IC2614,2026-01-06 14:49:00,0
Antwerp-Central,BE.NMBS.S322564,2026-01-06 14:50:00,120
Antwerp-Central,BE.NMBS.IC3014,2026-01-06 14:51:00,0
Antwerp-Central,BE.NMBS.IC4536,2026-01-06 14:54:00,0
