vehicle,latitude,longitude,station,destination,time
BE.NMBS.L562,,,Gent,Mechelen,1767702060
BE.NMBS.IC2834,,,Gent,Knokke,1767702120
BE.NMBS.S53683,,,Gent,Oudenaarde,1767702180
BE.NMBS.IC512,,,Gent,Eupen,1767702300
BE.NMBS.IC734,,,Gent,Antwerp-Central,1767702420
BE.NMBS.IC712,,,Gent,Poperinge,1767702960
BE.NMBS.IC534,,,Gent,Ostend,1767703140
BE.NMBS.IC2213,,,Gent,Brussels Airport - Zaventem,1767703140
BE.NMBS.IC2812,,,Gent,Liège-Guillemins,1767703260
BE.NMBS.S53663,,,Gent,Lokeren,1767703320
BE.NMBS.L584,,,Gent,Zeebrugge-Dorp,1767703500
BE.NMBS.IC1813,,,Gent,Antwerp-Central,1767703980
BE.NMBS.IC3012,,,Gent,De Panne,1767703980
BE.NMBS.IC413,,,Gent,Welkenraedt,1767704100
BE.NMBS.S51784,,,Gent,Ronse/Renaix,1767704220
BE.NMBS.IC4113,,,Gent,Leuven,1767704220
BE.NMBS.IC1513,,,Gent,Genk,1767704400
BE.NMBS.IC1534,,,Gent,Blankenberge,1767704400
BE.NMBS.S521864,,,Gent,Geraardsbergen,1767704700
BE.NMBS.IC3035,,,Gent,Antwerp-Central,1767704940
BE.NMBS.IC434,,,Gent,Kortrijk,1767704940
BE.NMBS.IC1834,,,Gent,Ostend,1767705060
BE.NMBS.S51763,,,Gent,Eeklo,1767705120
BE.NMBS.IC3614,,,Gent,Genk,1767705180
BE.NMBS.L563,,,Gent,Mechelen,1767705660
BE.NMBS.IC2835,,,Gent,Knokke,1767705720
